court_number,county_name,court_display_name,pool_pct_white,census_pct_white,pool_pct_black,census_pct_black,jury_pct_hisp,census_pct_hisp,jury_pct_mr,census_pct_mr,jury_pct_asian,census_pct_asian,jury_pct_aian,census_pct_aian,jury_pct_nhpi,census_pct_nhpi
011,Adair,Adair County District Court,97.76,93.05630026809652,0.56,1.5415549597855227,0.00,3.1501340482573728,0.28,2.6943699731903483,0.42,0.3083109919571046,0.14,0.17426273458445038,0.00,0.06702412868632708
021,Adams,Adams County District Court,97.28,94.47818884594147,0.30,0.3036996134732192,0.15,1.7393705135284372,0.61,4.527885146327995,0.76,0,0.00,0.22087244616234128,0.00,0
031,Allamakee,Allamakee County District Court,95.88,86.52426908884473,0.50,1.823729775759296,0.10,9.147033778030087,0.70,6.585296622196991,0.60,0.40448481407891,0.50,0.8799318762418393,0.00,0
041,Appanoose,Appanoose County District Court,97.13,93.75410374261325,0.60,0.8207485226526593,0.00,2.0436638214051213,0.48,3.0039395929087327,0.96,0.9110308601444517,0.48,0.024622455679579776,0.00,0
051,Audubon,Audubon County District Court,97.54,93.83818539024827,0.61,0.500089301661011,0.20,2.5004465083050547,0.20,3.3398821218074657,0.31,0.05358099660653688,0.31,0.1786033220217896,0.00,0.2500446508305055
061,Benton,Benton County District Court,97.44,94.43710153941845,0.28,0.4159539729435547,0.06,1.97092209609703,0.97,3.253770797698647,0.17,0.2332452184730213,0.28,0.10107292800497589,0.06,0
071,Black Hawk,Black Hawk County District Court,82.67,78.06011491884715,9.63,9.259895153721127,0.21,5.235446283451228,1.74,5.085120832665644,2.50,2.7203565078711014,0.25,0.2914940213202695,0.33,0.7356027134888476
081,Boone,Boone County District Court,96.37,92.88660566971652,0.65,1.1511924403779812,0.07,2.9361031948402583,1.17,3.858557072146393,0.31,0.19874006299685018,0.21,0.041247937603119844,0.00,0
091,Bremer,Bremer County District Court,96.95,92.27106808443104,1.08,1.146643389938105,0.00,2.0949055705443578,0.79,3.7890810982383747,0.59,0.8966830661799714,0.10,0.047611490239644505,0.00,0.03174099349309633
101,Buchanan,Buchanan County District Court,97.41,94.95022711897168,0.52,0.599207499758384,0.00,1.9329274185754326,0.71,2.4983086885087467,0.52,0.19329274185754325,0.13,0.2802744756934377,0.00,0.06282014110370156
111,Buena Vista,Buena Vista County District Court,76.45,52.07921746253553,1.05,3.2718161229701734,1.05,29.364429239146144,0.83,12.54758348190623,7.52,9.550426444369489,0.30,0.4095793379270467,1.58,2.929696911289934
121,Butler,Butler County District Court,97.99,94.56826464816372,0.32,0.16820857863751051,0.00,1.7451640033641715,0.42,2.7123633305298567,0.21,1.254555649004766,0.11,0.049060835435940565,0.11,0
131,Calhoun,Calhoun County District Court,96.39,91.33938590227481,1.03,1.6117515046414363,0.00,2.713455064776089,0.86,4.590431500561053,0.34,0.2244210955829848,0.00,0.17341630113230644,0.17,0
141,Carroll,Carroll County District Court,96.96,91.92968825871614,0.76,0.6749538700592406,0.17,3.4961639312421093,0.76,5.190832281246966,0.51,0.18937554627561426,0.08,0.10682723123239778,0.00,0
151,Cass,Cass County District Court,96.87,93.49419670128285,0.35,0.9010384850335981,0.06,2.7260232131948685,0.64,2.3518631643249845,0.41,0.5192425167990227,0.46,0.32834453268173486,0.23,0.4123396456933414
161,Cedar,Cedar County District Court,96.53,93.16584010027795,0.68,0.43054117390593494,0.08,2.76309335658619,0.64,4.577906152923865,0.48,0.5231892746198703,0.36,0.0708485476047741,0.08,0.05449888277290315
171,Cerro Gordo,Cerro Gordo County District Court,94.04,88.2412272471383,1.52,2.3151623193844997,0.21,5.622537061362357,1.35,5.348095327453556,0.96,1.1704822668418091,0.21,0.18061550009382624,0.35,0.6262901107149559
