race,mean_gap,median_gap,sd_gap,min_gap,max_gap,range_gap,observations
Hispanic/Latino/Spanish Origins,-5.578724945978498,-3.538171733481894,5.062161443844014,-28.314429239146143,-0.5228196592911689,27.791609579854974,100
Black/African American,-0.32256501936257975,-0.24811932435732786,0.6120749858495967,-2.221816122970173,1.412269175812483,3.634085298782656,100
Asian,-0.18486016911884606,-0.03074074673282229,0.775504918918359,-6.162107609041707,0.9185692583897253,7.080676867431432,100
Native Hawaiian/Pacific Islander,-0.02399973791959279,0,0.25517845552089535,-1.483505457836095,0.38,1.8635054578360952,100
American Indian/Alaskan Native,-0.016704739963539147,0.02038963236080608,0.29450815328682006,-0.9707369859892926,0.6275260257195346,1.5982630117088272,100
White,6.233165855343476,5.111065415457624,3.8816064354185573,1.9345808589973643,24.37078253746447,22.436201678467107,100
