court_number,court_name,result_status,white,black_african_american,hlso_race,hlso_ethnicity,asian,american_indian_alaskan_native,mr_bw,mr_ow,mr_aw,mr_unk,unknown,other
191,Chickasaw County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Court,1,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Challenged For Cause (Defendant/Respondent),2,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Not Used,17,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Peremptory Strike (Defendant/Respondent),4,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Peremptory Strike (Plaintiff/Petitioner),12,0,0,1,0,0,0,0,0,0,0,1
201,Clarke County District Court,Court,13,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Peremptory Strike (Defendant/Respondent),14,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Juror,35,0,0,1,0,0,0,0,0,0,0,0
201,Clarke County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Not Used,86,0,0,3,0,0,0,1,0,0,1,1
211,Clay County District Court,Peremptory Strike (Plaintiff/Petitioner),18,0,0,0,1,0,0,0,0,0,0,0
211,Clay County District Court,Juror,28,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Peremptory Strike (Defendant/Respondent),20,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Challenged For Cause (Plaintiff/Petitioner),12,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Not Used,101,1,0,4,1,0,0,0,0,0,0,3
211,Clay County District Court,Challenged For Cause (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Juror,18,0,0,1,0,0,0,0,0,0,0,1
221,Clayton County District Court,Peremptory Strike (Plaintiff/Petitioner),11,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Challenged For Cause (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Challenged For Cause (Defendant/Respondent),3,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Court,3,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Peremptory Strike (Defendant/Respondent),11,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Not Used,27,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Court,28,0,0,0,0,0,0,0,0,0,1,0
231,Clinton County District Court,Juror,107,3,0,2,1,0,1,0,0,0,0,1
231,Clinton County District Court,Not Used,136,3,0,2,0,0,0,0,0,0,0,2
231,Clinton County District Court,No Result,97,2,0,3,1,0,3,0,0,0,0,2
231,Clinton County District Court,Peremptory Strike (Plaintiff/Petitioner),55,1,0,5,0,0,0,0,0,0,0,2
231,Clinton County District Court,Challenged For Cause (Defendant/Respondent),5,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Alternate,10,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Peremptory Strike (Defendant/Respondent),60,0,0,1,0,0,0,1,0,0,0,0
231,Clinton County District Court,Challenged For Cause (Plaintiff/Petitioner),16,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Challenged For Cause (Plaintiff/Petitioner),5,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Juror,11,0,0,1,0,0,0,0,0,0,0,1
241,Crawford County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Alternate,1,0,0,1,0,0,0,0,0,0,0,0
241,Crawford County District Court,Not Used,28,0,0,4,0,0,0,0,0,0,0,1
251,Dallas County District Court,Not Used,184,5,0,6,6,0,0,2,0,0,0,4
251,Dallas County District Court,Challenged For Cause (Plaintiff/Petitioner),4,1,0,1,0,0,0,0,0,0,0,1
251,Dallas County District Court,Peremptory Strike (Plaintiff/Petitioner),87,0,0,3,4,0,1,0,1,0,0,3
251,Dallas County District Court,Juror,211,4,0,6,7,0,0,0,0,1,0,6
251,Dallas County District Court,No Result,93,5,0,1,1,0,0,0,0,0,0,1
251,Dallas County District Court,Peremptory Strike (Defendant/Respondent),95,2,0,1,0,0,0,0,1,0,1,0
251,Dallas County District Court,Alternate,3,0,0,1,0,0,0,0,0,0,0,1
251,Dallas County District Court,Challenged For Cause (Defendant/Respondent),1,0,0,0,0,0,0,0,0,0,0,0
251,Dallas County District Court,Court,36,0,0,3,1,0,1,0,0,0,1,1
261,Davis County District Court,Juror,11,0,0,0,0,0,0,0,0,0,0,0
261,Davis County District Court,Not Used,28,0,0,1,0,0,0,0,0,0,0,1
261,Davis County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
261,Davis County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
261,Davis County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
261,Davis County District Court,Court,7,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,Court,1,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,Not Used,11,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,Juror,6,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,Peremptory Strike (Defendant/Respondent),4,0,0,0,0,0,0,0,0,0,0,0
291,Des Moines County District Court,No Result,171,8,0,1,0,0,1,0,0,0,0,0
291,Des Moines County District Court,Peremptory Strike (Defendant/Respondent),101,0,0,2,0,0,1,0,0,0,0,1
291,Des Moines County District Court,Not Used,221,8,0,8,2,0,4,2,0,0,2,4
291,Des Moines County District Court,Peremptory Strike (Plaintiff/Petitioner),95,4,0,4,2,0,0,1,0,0,0,0
291,Des Moines County District Court,Alternate,17,1,0,0,0,0,0,0,0,0,0,0
291,Des Moines County District Court,Juror,195,4,0,5,0,0,0,0,0,0,1,0
301,Dickinson County District Court,No Result,77,0,0,0,0,0,0,0,0,0,0,2
311,Dubuque County District Court,Court,65,2,0,5,0,0,2,1,0,0,0,2
311,Dubuque County District Court,Juror,240,0,0,5,3,0,2,0,0,0,0,2
311,Dubuque County District Court,Peremptory Strike (Plaintiff/Petitioner),108,2,0,4,1,0,0,0,0,0,1,1
311,Dubuque County District Court,Challenged For Cause (Plaintiff/Petitioner),10,1,0,0,0,0,0,0,0,0,0,0
311,Dubuque County District Court,Not Used,267,6,0,8,4,0,0,0,0,0,0,1
311,Dubuque County District Court,Peremptory Strike (Defendant/Respondent),118,1,0,0,2,0,0,0,1,0,0,0
311,Dubuque County District Court,Challenged For Cause (Defendant/Respondent),12,0,0,0,0,0,0,0,0,0,0,0
311,Dubuque County District Court,No Result,35,1,0,0,0,0,0,0,0,0,0,0
321,Emmet County District Court,No Result,37,0,0,3,0,0,1,0,1,0,0,1
341,Floyd County District Court,Peremptory Strike (Defendant/Respondent),5,0,0,0,0,0,0,0,0,0,0,0
341,Floyd County District Court,Peremptory Strike (Plaintiff/Petitioner),3,1,0,1,0,0,0,0,0,0,0,1
341,Floyd County District Court,Court,2,0,0,0,0,0,0,0,0,0,0,0
341,Floyd County District Court,Challenged For Cause (Plaintiff/Petitioner),1,0,0,0,0,0,0,0,0,0,0,0
341,Floyd County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
341,Floyd County District Court,Not Used,27,0,0,1,0,0,0,0,0,0,0,1
341,Floyd County District Court,Juror,11,1,0,1,0,0,0,0,0,0,0,0
361,Fremont County District Court,Peremptory Strike (Defendant/Respondent),3,0,0,0,0,0,0,0,0,0,0,0
361,Fremont County District Court,Challenged For Cause (Defendant/Respondent),4,0,0,0,0,0,0,0,0,0,0,0
361,Fremont County District Court,Not Used,11,0,0,0,0,0,0,0,0,0,0,0
361,Fremont County District Court,Juror,10,0,0,1,0,0,0,0,0,0,1,0
361,Fremont County District Court,Court,2,0,0,0,0,0,0,0,0,0,0,0
361,Fremont County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
371,Greene County District Court,Peremptory Strike (Plaintiff/Petitioner),16,0,0,1,0,0,0,0,0,0,0,0
371,Greene County District Court,Not Used,46,0,0,1,0,0,0,0,0,0,0,1
371,Greene County District Court,Juror,24,0,0,0,0,0,0,0,0,0,0,0
371,Greene County District Court,Court,15,0,0,0,0,0,0,0,0,0,0,0
371,Greene County District Court,No Result,118,0,0,2,0,0,0,0,0,0,0,1
371,Greene County District Court,Peremptory Strike (Defendant/Respondent),11,0,0,0,1,0,0,0,0,0,0,0
371,Greene County District Court,Alternate,3,0,0,0,0,0,0,0,0,0,0,0
391,Guthrie County District Court,Juror,68,0,0,1,0,0,0,0,0,0,2,0
391,Guthrie County District Court,Not Used,120,1,0,4,2,0,0,0,0,0,1,2
391,Guthrie County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
391,Guthrie County District Court,No Result,21,0,0,0,0,0,0,0,0,0,0,1
401,Hamilton County District Court,Not Used,58,0,0,1,1,0,0,0,0,0,0,0
411,Hancock County District Court,Court,8,1,0,1,0,0,0,0,0,0,0,0
411,Hancock County District Court,Peremptory Strike (Defendant/Respondent),29,0,0,0,0,0,0,0,0,0,0,0
411,Hancock County District Court,Alternate,5,0,0,1,0,0,0,0,0,0,0,0
411,Hancock County District Court,Peremptory Strike (Plaintiff/Petitioner),27,1,0,2,0,0,0,0,0,0,0,1
411,Hancock County District Court,Not Used,142,0,0,2,0,0,0,0,0,0,1,0
411,Hancock County District Court,Juror,57,0,0,3,0,0,0,0,0,0,0,2
421,Hardin County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
421,Hardin County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
421,Hardin County District Court,Not Used,108,0,0,0,0,0,0,0,0,0,0,0
421,Hardin County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
421,Hardin County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Juror,36,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Challenged For Cause (Plaintiff/Petitioner),3,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Peremptory Strike (Plaintiff/Petitioner),22,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,No Result,1,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Not Used,34,0,0,0,1,0,0,0,0,0,0,0
431,Harrison County District Court,Challenged For Cause (Defendant/Respondent),1,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Court,13,0,0,0,0,0,0,0,0,0,0,0
431,Harrison County District Court,Peremptory Strike (Defendant/Respondent),21,0,0,1,0,0,0,0,0,0,0,0
431,Harrison County District Court,Alternate,4,0,0,0,0,0,0,0,0,0,0,0
441,Henry County District Court,Juror,6,0,0,0,0,0,0,0,0,0,0,0
441,Henry County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
441,Henry County District Court,Not Used,12,0,0,1,0,0,1,0,0,0,0,1
441,Henry County District Court,Peremptory Strike (Defendant/Respondent),4,0,0,1,0,0,0,0,0,0,0,0
451,Howard County District Court,Court,23,0,0,0,0,0,0,0,0,0,0,0
451,Howard County District Court,Peremptory Strike (Plaintiff/Petitioner),5,0,0,0,0,0,0,0,0,0,0,0
451,Howard County District Court,Juror,13,0,0,0,0,0,0,0,0,0,0,0
451,Howard County District Court,Peremptory Strike (Defendant/Respondent),4,1,0,0,0,0,0,0,0,0,0,1
451,Howard County District Court,Not Used,8,0,0,0,0,0,0,0,0,0,0,0
491,Jackson County District Court,Peremptory Strike (Defendant/Respondent),6,0,0,1,0,0,0,0,0,0,1,0
491,Jackson County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
491,Jackson County District Court,Not Used,29,0,0,1,0,0,0,0,0,0,0,0
491,Jackson County District Court,Court,3,0,0,0,0,0,0,0,0,0,0,0
