race,pearson_correlation
White,0.9393612100441832
Black/African American,0.9359894388040567
American Indian/Alaskan Native,0.9003181184989348
Asian,0.8944817650059077
Native Hawaiian/Pacific Islander,0.8689912827197775
Hispanic/Latino/Spanish Origins,0.7870953361407061
