court_number,county_name,minimum_expected,minimum_population_pct,number_below_5,percent_below_5,observed_total,expected_total,totals_difference
971,Woodbury,78.04196824380924,0.7294323604431184,0,0,9865,10275.055888636854,-410.05588863685443
071,Black Hawk,48.00032049080878,0.2914940213202695,0,0,15741,15858.200123617882,-117.20012361788213
781,Pottawattamie,20.388957869498203,0.17447336872752184,0,0,11134,11330.131379517039,-196.13137951703902
901,Wapello,13.916775069283412,0.4383236242293988,0,0,2976,3071.746507550478,-95.74650755047787
751,Plymouth,11.830116130034567,0.4272342408824329,0,0,2681,2719.743698294947,-38.74369829494708
821,Scott,11.099560157610188,0.05268945294602767,0,0,20024,19959.180816457432,64.81918354256777
851,Story,9.43144944558358,0.10948977763621524,0,0,8321,8278.840582883762,42.15941711623782
771,Polk,9.004433845083717,0.04729964724002583,0,0,18008,18337.30252297908,-329.3025229790801
151,Cass,5.657376298106292,0.32834453268173486,0,0,1695,1695.10781918143,-0.10781918142993163
111,Buena Vista,5.443309401050451,0.4095793379270467,0,0,1169,1297.1726497373872,-128.17264973738725
171,Cerro Gordo,5.0933571026459,0.18061550009382624,0,0,2744,2768.008069056108,-24.00806905610807
571,Linn,4.077702996469626,0.02304307751169545,1,16.666666666666664,17078,16825.525816942314,252.47418305768588
311,Dubuque,3.4616782793093006,0.03938200545289307,1,16.666666666666664,8621,8499.662829445622,121.33717055437774
711,O'Brien,2.624238991929775,0.15574118646467508,1,16.666666666666664,1631,1642.6543253574966,-11.654325357496646
501,Jasper,1.8827001106602728,0.08431258892343363,2,33.33333333333333,2186,2152.2792327554407,33.72076724455928
461,Humboldt,1.5564591804817016,0.16682306328849963,2,33.33333333333333,908,917.7272442915232,-9.72724429152322
491,Jackson,1.5091799896854048,0.06704486848891181,2,33.33333333333333,2222,2179.9524497163484,42.04755028365162
391,Guthrie,1.4539670658682635,0.1403443113772455,3,50,1011,1004.4973802395209,6.502619760479092
161,Cedar,1.36737696877214,0.05449888277290315,2,33.33333333333333,2464,2433.93100441441,30.068995585590073
621,Mahaska,1.348712592525317,0.08174015712274647,2,33.33333333333333,1621,1597.1754234594252,23.824576540574753
761,Pocahontas,1.3028668748225944,0.17030939540164633,2,33.33333333333333,748,741.4398240136248,6.560175986375157
251,Dallas,1.2768227622999406,0.02963841138114997,1,16.666666666666664,4141,4127.6886855364555,13.311314463544477
521,Johnson,1.2038700451356301,0.01979072900107891,1,16.666666666666664,5781,5784.673235911873,-3.6732359118732347
401,Hamilton,1.0792019347037485,0.14107214832728737,2,33.33333333333333,738,746.8591293833132,-8.859129383313189
562,Lee,0.9914875505426685,0.0638433709299851,2,33.33333333333333,1512,1505.9751618885475,6.024838111452482
101,Buchanan,0.9711993814632262,0.06282014110370156,3,50,1524,1515.3698656615445,8.630134338455491
561,Lee,0.9525430942753776,0.0638433709299851,2,33.33333333333333,1452,1446.8222418143678,5.177758185632229
551,Kossuth,0.8828878478919814,0.05511160099200882,2,33.33333333333333,1570,1562.7114907688067,7.288509231193302
691,Montgomery,0.8529469355786176,0.05874290189935383,1,16.666666666666664,1422,1394.5682396710395,27.431760328960536
321,Emmet,0.7077305117685165,0.05398402072986396,3,50,1263,1276.60429712805,-13.604297128049893
611,Madison,0.6924258537161763,0.04726456339359565,2,33.33333333333333,1448,1435.4853479853477,12.514652014652256
341,Floyd,0.6388308977035488,0.0521920668058455,2,33.33333333333333,1196,1171.0568893528182,24.94311064718181
811,Sac,0.615130560429353,0.08256786046031583,4,66.66666666666666,729,727.2381050676023,1.761894932397695
861,Tama,0.5958027033436093,0.03557031064737966,1,16.666666666666664,1624,1643.0252549205595,-19.02525492055952
051,Audubon,0.5229505268797999,0.05358099660653688,4,66.66666666666666,966,949.8524736560103,16.14752634398974
011,Adair,0.4792225201072386,0.06702412868632708,3,50,707,702.8277479892762,4.17225201072381
601,Lyon,0.45847722414076636,0.0328893274132544,3,50,1367,1369.8153264265745,-2.8153264265745293
841,Sioux,0.38688832431238246,0.01656909311830332,1,16.666666666666664,2244,2303.404120181155,-59.40412018115512
091,Bremer,0.32312331375972064,0.03174099349309633,2,33.33333333333333,1005,982.2544834153308,22.74551658466919
441,Henry,0.3128374325134973,0.03499300139972006,2,33.33333333333333,868,857.2639472105578,10.73605278944217
911,Warren,0.29318678895035727,0.01470344979690859,1,16.666666666666664,1953,1942.7656086309248,10.234391369075183
681,Monroe,0.2823106615200319,0.03993078663649674,3,50,702,697.871955277519,4.128044722481036
731,Page,0.23144537704051274,0.01321789703258211,1,16.666666666666664,1706,1690.7084792809464,15.291520719053551
191,Chickasaw,0.17582789870415858,0.01693910392140256,3,50,1020,1018.8347590412468,1.165240958753202
921,Washington,0.1396214706794911,0.00886485528123753,2,33.33333333333333,1515,1541.8399007136209,-26.839900713620864
291,Des Moines,0.11234962454854872,0.00259827993868059,1,16.666666666666664,4193,4084.919998960688,108.08000103931181
271,Decatur,0.06650341538858101,0.01288825879623663,3,50,507,495.18443098337406,11.815569016625943
961,Winneshiek,0.06622050017611825,0.00503195290092084,2,33.33333333333333,1302,1285.1412469179288,16.85875308207119
331,Fayette,0.06542928245541259,0.00518457071754458,2,33.33333333333333,1239,1213.5823309829946,25.417669017005437
021,Adams,0,0,4,66.66666666666666,651,639.4654886802872,11.534511319712806
031,Allamakee,0,0,2,33.33333333333333,970,981.8677263695714,-11.867726369571415
041,Appanoose,0,0,2,33.33333333333333,829,815.5528562048586,13.447143795141415
061,Benton,0,0,3,50,1731,1710.9575882444408,20.042411755559215
081,Boone,0,0,2,33.33333333333333,5593,5570.35585720714,22.644142792860293
121,Butler,0,0,3,50,933,924.0706476030277,8.929352396972263
131,Calhoun,0,0,3,50,569,558.1227175354483,10.87728246455174
141,Carroll,0,0,3,50,1168,1143.2685248130524,24.73147518694759
181,Cherokee,0,0,3,50,943,926.2710344827585,16.728965517241477
201,Clarke,0,0,3,50,743,761.6220244255846,-18.62202442558464
211,Clay,0,0,3,50,1642,1637.65020351133,4.349796488670108
221,Clayton,0,0,3,50,958,955.6028919061896,2.3971080938104024
231,Clinton,0,0,1,16.666666666666664,8161,8115.21505143944,45.784948560560224
241,Crawford,0,0,1,16.666666666666664,1989,2106.6490753824414,-117.64907538244142
261,Davis,0,0,4,66.66666666666666,686,669.2927814786501,16.707218521349887
281,Delaware,0,0,3,50,1010,990.4517598815354,19.548240118464605
301,Dickinson,0,0,3,50,1686,1659.422178988327,26.577821011672995
351,Franklin,0,0,3,50,1111,1130.4171353957413,-19.417135395741298
361,Fremont,0,0,3,50,1723,1680.8142462388703,42.18575376112972
371,Greene,0,0,3,50,1837,1799.4028545119704,37.59714548802958
381,Grundy,0,0,1,16.666666666666664,1094,1088.5823643410852,5.417635658914833
411,Hancock,0,0,3,50,957,960.2235029519258,-3.2235029519257523
421,Hardin,0,0,1,16.666666666666664,723,730.2717711400924,-7.271771140092369
431,Harrison,0,0,4,66.66666666666666,1521,1496.6614953526514,24.3385046473486
451,Howard,0,0,3,50,1000,989.6189518263632,10.381048173636827
471,Ida,0,0,3,50,990,980.7712342642166,9.22876573578344
481,Iowa,0,0,4,66.66666666666666,1446,1428.4665293511844,17.533470648815637
511,Jefferson,0,0,1,16.666666666666664,723,727.2119707099649,-4.21197070996493
531,Jones,0,0,2,33.33333333333333,1540,1530.2423430321596,9.757656967840376
541,Keokuk,0,0,4,66.66666666666666,1395,1378.5217654171709,16.478234582829145
581,Louisa,0,0,1,16.666666666666664,880,912.970406443154,-32.97040644315405
591,Lucas,0,0,4,66.66666666666666,510,508.8772372648004,1.1227627351996148
631,Marion,0,0,2,33.33333333333333,1658,1647.300398311634,10.699601688366101
641,Marshall,0,0,1,16.666666666666664,4768,5059.568130827143,-291.56813082714325
651,Mills,0,0,2,33.33333333333333,1986,1984.854406919275,1.1455930807248933
661,Mitchell,0,0,3,50,850,850.0784869976359,-0.07848699763587774
671,Monona,0,0,3,50,1910,1867.6779245062523,42.32207549374766
701,Muscatine,0,0,1,16.666666666666664,10979,11619.69078220823,-640.6907822082303
721,Osceola,0,0,1,16.666666666666664,1328,1326.49868852459,1.5013114754099206
741,Palo Alto,0,0,2,33.33333333333333,1619,1607.0793185151751,11.920681484824854
791,Poweshiek,0,0,2,33.33333333333333,1444,1443.2455109193852,0.7544890806148032
801,Ringgold,0,0,4,66.66666666666666,535,530.648869752422,4.3511302475779985
831,Shelby,0,0,2,33.33333333333333,1153,1150.3876719307184,2.6123280692816024
871,Taylor,0,0,4,66.66666666666666,616,618.8738922972052,-2.8738922972052023
881,Union,0,0,2,33.33333333333333,739,742.5981822729925,-3.598182272992517
891,Van Buren,0,0,4,66.66666666666666,608,601.2122634995168,6.78773650048322
931,Wayne,0,0,4,66.66666666666666,527,505.09032455603193,21.90967544396807
941,Webster,0,0,1,16.666666666666664,3969,3919.212302770699,49.7876972293011
951,Winnebago,0,0,2,33.33333333333333,1000,1017.3727676462252,-17.372767646225157
981,Worth,0,0,2,33.33333333333333,915,915.4200000000001,-0.42000000000007276
991,Wright,0,0,4,66.66666666666666,753,772.3254632163239,-19.325463216323897
