court_number,county_name,race,adjusted_total,jury_count,expected_count,jury_pool_pct,county_population_pct,representation_gap,court_binomial_p_value
971,Woodbury,Multiracial,10699,229,1529.7232768925237,2.14,14.297815467730851,-12.157815467730853,0
821,Scott,Multiracial,21066,515,1807.0566526161463,2.44,8.578072024191332,-6.138072024191333,3.9474575157533685e-301
771,Polk,Multiracial,19037,355,1472.8681075172656,1.86,7.736870869975656,-5.876870869975655,1.558942994170937e-283
641,Marshall,Multiracial,5162,65,709.430772298948,1.26,13.743331505210152,-12.483331505210153,9.739902502399221e-234
701,Muscatine,Multiracial,11980,207,958.4788176413919,1.73,8.000657910195258,-6.270657910195258,1.2064377088026988e-201
571,Linn,Multiracial,17696,310,1155.7595172257872,1.75,6.531190761899793,-4.781190761899793,1.288349869932545e-201
241,Crawford,Multiracial,2177,13,399.23480985439573,0.6,18.33876021379861,-17.73876021379861,4.17254359568429e-167
781,Pottawattamie,Multiracial,11686,189,816.1837429354341,1.62,6.9842866929268705,-5.36428669292687,3.598285596446661e-162
071,Black Hawk,Multiracial,16467,287,837.3668475150516,1.74,5.085120832665644,-3.3451208326656436,6.816264448797002e-112
311,Dubuque,Multiracial,8790,74,441.7634050287792,0.84,5.0257497727961224,-4.185749772796123,9.53205875495281e-108
231,Clinton,Multiracial,8395,114,494.61333967320826,1.36,5.891761044350307,-4.531761044350307,1.3310877768069655e-98
521,Johnson,Multiracial,6083,110,469.74232470840593,1.81,7.722214774098404,-5.912214774098404,8.05380183339719e-94
971,Woodbury,Hispanic/Latino,10699,1267,2045.8072604402946,11.84,19.121481077112765,-7.281481077112765,1.183246608423177e-91
901,Wapello,Multiracial,3175,28,285.0694248062893,0.88,8.978564560828008,-8.098564560828008,4.66305865181052e-90
851,Story,Multiracial,8614,133,497.6375689287918,1.54,5.7770788127326655,-4.2370788127326655,1.0517727513933572e-87
701,Muscatine,Hispanic/Latino,11980,1497,2253.3400690805706,12.5,18.80918254658239,-6.309182546582392,2.5438073912952277e-77
941,Webster,Multiracial,4115,63,325.5319091254134,1.53,7.9108604890744445,-6.380860489074444,7.044235260770769e-75
291,Des Moines,Multiracial,4324,78,331.5437420427677,1.8,7.667524099046432,-5.867524099046432,1.7699823880843518e-66
241,Crawford,Hispanic/Latino,2177,337,671.2762179762856,15.48,30.8349204398845,-15.3549204398845,1.7514093766653315e-61
771,Polk,Hispanic/Latino,19037,1323,1979.3485944253985,6.95,10.3973766582203,-3.4473766582203007,3.2684075040464366e-61
111,Buena Vista,Multiracial,1329,11,166.7573844745338,0.83,12.54758348190623,-11.71758348190623,1.2731160006448506e-60
641,Marshall,Hispanic/Latino,5162,795,1270.747120705988,15.4,24.617340579348856,-9.217340579348855,5.196399558388882e-59
721,Osceola,Multiracial,1371,3,139.1227868852459,0.22,10.147540983606556,-9.927540983606557,1.2261437454352065e-58
781,Pottawattamie,Hispanic/Latino,11686,612,1067.7309470799794,5.24,9.136838499743106,-3.8968384997431063,2.4092343751595103e-56
251,Dallas,Multiracial,4308,60,269.01059573206874,1.39,6.244442797866034,-4.854442797866034,6.808016037163289e-56
841,Sioux,Multiracial,2335,11,154.17499723848448,0.47,6.602783607643875,-6.1327836076438755,3.4889428869913476e-53
861,Tama,Multiracial,1675,18,167.91706189234054,1.07,10.024899217453166,-8.954899217453166,1.70027971467362e-52
991,Wright,Multiracial,797,8,114.96091001485419,1,14.424204518802282,-13.424204518802282,3.274609977874256e-42
351,Franklin,Multiracial,1153,8,114.6514664523905,0.69,9.943752511048611,-9.253752511048614,6.388814082271776e-41
361,Fremont,Multiracial,1758,13,121.44611605772182,0.74,6.908197727970525,-6.168197727970525,1.2004943495641822e-37
321,Emmet,Multiracial,1311,8,102.7624703087886,0.61,7.8384798099762465,-7.228479809976246,2.0903598703098608e-35
081,Boone,Multiracial,5730,67,221.09532023398833,1.17,3.858557072146393,-2.688557072146393,5.371647878656331e-35
161,Cedar,Multiracial,2509,16,114.85966537685977,0.64,4.577906152923865,-3.937906152923865,8.866791377157351e-32
671,Monona,Multiracial,1940,16,112.67734018931868,0.82,5.808110319037046,-4.9881103190370455,3.516045601786892e-31
841,Sioux,Hispanic/Latino,2335,157,334.85184469236714,6.72,14.340550093891528,-7.620550093891528,6.7541724710057e-31
711,O'Brien,Multiracial,1685,14,104.0152909528529,0.83,6.173014299872576,-5.343014299872576,1.2405087479764796e-29
171,Cerro Gordo,Multiracial,2820,38,150.81628823419027,1.35,5.348095327453556,-3.998095327453555,4.619799150411969e-29
861,Tama,Hispanic/Latino,1675,67,195.42328669670377,4,11.667061892340524,-7.667061892340525,7.599732627324714e-29
651,Mills,Multiracial,2033,16,103.82701812191102,0.79,5.107084019769357,-4.317084019769357,1.1577738433330973e-27
371,Greene,Multiracial,1858,10,90.03430018416206,0.54,4.845764272559853,-4.305764272559853,1.4358746185336028e-27
751,Plymouth,Multiracial,2769,30,131.42183555365673,1.08,4.746184021439391,-3.666184021439391,2.154627467268191e-27
071,Black Hawk,Hispanic/Latino,16467,581,862.1209394959137,3.53,5.235446283451228,-1.7054462834512285,1.2331724274865438e-25
821,Scott,Hispanic/Latino,21066,1179,1556.5926647118117,5.6,7.389123064235316,-1.7891230642353166,2.2953254397785286e-25
181,Cherokee,Multiracial,964,5,67.56310344827585,0.52,7.008620689655172,-6.488620689655171,6.79246426533357e-24
341,Floyd,Multiracial,1224,11,82.16962421711901,0.9,6.71320459290188,-5.813204592901879,7.7734250533452e-24
301,Dickinson,Multiracial,1715,11,81.31712062256808,0.64,4.741523068371317,-4.101523068371318,3.22193011909423e-23
351,Franklin,Hispanic/Latino,1153,78,190.1593009240659,6.76,16.492567296102852,-9.732567296102852,4.08316990013979e-23
501,Jasper,Multiracial,2233,18,94.37034304684619,0.81,4.226168519787111,-3.4161685197871106,1.8189270364854187e-22
911,Warren,Multiracial,1994,18,92.72032200555056,0.9,4.649965998272345,-3.749965998272345,6.25023215234687e-22
581,Louisa,Multiracial,939,11,75.4506461884248,1.17,8.03521258662671,-6.8652125866267095,2.141500093520368e-21
921,Washington,Multiracial,1575,14,82.44647843623953,0.89,5.234697043570764,-4.344697043570764,3.063621919765772e-21
031,Allamakee,Multiracial,994,7,65.4578484246381,0.7,6.585296622196991,-5.885296622196991,7.001573170171617e-21
901,Wapello,Hispanic/Latino,3175,259,426.3022453481138,8.16,13.426842373168938,-5.266842373168938,1.0106349969085359e-20
941,Webster,Hispanic/Latino,4115,139,272.09469717508,3.38,6.612264815919319,-3.2322648159193195,3.839706082522979e-20
401,Hamilton,Multiracial,765,6,57.40326481257558,0.78,7.503694746741905,-6.723694746741905,1.0466706322517617e-18
551,Kossuth,Multiracial,1602,12,71.51391567925047,0.75,4.464039680352714,-3.7140396803527143,1.2442231707393382e-18
791,Poweshiek,Multiracial,1492,16,78.60253437584254,1.07,5.268266379077918,-4.198266379077918,2.350696700987603e-18
562,Lee,Multiracial,1553,14,72.52023226826377,0.9,4.669686559450339,-3.769686559450339,1.6019004434091478e-17
731,Page,Multiracial,1751,20,83.6675038001454,1.14,4.778269777278435,-3.638269777278435,2.0966976490267317e-17
141,Carroll,Multiracial,1186,9,61.56327085558901,0.76,5.190832281246966,-4.430832281246966,2.2274458240524937e-17
431,Harrison,Multiracial,1541,9,61.82114543466375,0.58,4.01175505740842,-3.43175505740842,2.3597021228167705e-17
331,Fayette,Multiracial,1262,12,67.13044379925343,0.95,5.319369556200747,-4.369369556200747,4.2282877268890255e-17
991,Wright,Hispanic/Latino,797,73,158.70213431318896,9.16,19.912438433273397,-10.752438433273396,8.285946014949829e-17
741,Palo Alto,Multiracial,1652,16,74.37075482342323,0.97,4.50186167212005,-3.5318616721200504,9.140047622685968e-17
281,Delaware,Multiracial,1022,2,42.549379200364505,0.2,4.163344344458367,-3.963344344458367,1.374644689173647e-16
961,Winneshiek,Multiracial,1316,9,59.399788657978164,0.68,4.5136617521260005,-3.833661752126,1.748098089908906e-16
211,Clay,Multiracial,1688,13,67.57742542980378,0.77,4.003401980438612,-3.2334019804386123,2.1839843446878464e-16
201,Clarke,Multiracial,794,9,57.77085489546677,1.13,7.275926309252742,-6.145926309252742,3.8825051257788646e-16
951,Winnebago,Multiracial,1032,11,61.82443541528867,1.07,5.990739865822546,-4.920739865822545,5.812628265934425e-16
621,Mahaska,Multiracial,1650,16,71.5566958812043,0.97,4.3367694473457155,-3.3667694473457157,9.18595257267548e-16
971,Woodbury,Black/African American,10699,362,529.1748943499581,3.38,4.946022005327209,-1.5660220053272091,2.0093917004086814e-15
851,Story,Hispanic/Latino,8614,297,444.47849023550253,3.45,5.159954611510361,-1.7099546115103612,1.6209493829305436e-14
571,Linn,Hispanic/Latino,17696,538,729.524147406132,3.04,4.122536999356533,-1.0825369993565328,2.0539771322110162e-14
721,Osceola,Hispanic/Latino,1371,68,145.41590163934427,4.96,10.60655737704918,-5.64655737704918,5.34768767962293e-14
531,Jones,Multiracial,1573,14,62.40510145482389,0.89,3.9672664624808576,-3.0772664624808574,7.298457753237221e-14
761,Pocahontas,Multiracial,765,4,40.93173431734317,0.52,5.350553505535055,-4.830553505535056,8.545152128055019e-14
611,Madison,Multiracial,1465,5,43.62282878411911,0.34,2.977667493796526,-2.6376674937965263,9.98086153525306e-14
831,Shelby,Multiracial,1182,9,51.984717269485486,0.76,4.398030225844796,-3.638030225844796,1.0834000587232677e-13
031,Allamakee,Hispanic/Latino,994,32,90.92151575361909,3.22,9.147033778030089,-5.927033778030086,1.352298770074606e-13
111,Buena Vista,Hispanic/Latino,1329,273,390.25326458825225,20.54,29.364429239146144,-8.824429239146145,1.7235547678727474e-13
191,Chickasaw,Multiracial,1038,4,40.00084695519607,0.39,3.8536461421190817,-3.4636461421190816,2.6360353587324944e-13
511,Jefferson,Asian,742,15,60.71123845908946,2.02,8.182107609041706,-6.162107609041707,5.37655520046183e-13
451,Howard,Multiracial,1013,3,36.25134992059291,0.3,3.578613022763367,-3.278613022763367,8.88792924658534e-13
541,Keokuk,Multiracial,1414,7,45.45203546956872,0.5,3.2144296654574767,-2.7144296654574767,9.956773067754747e-13
601,Lyon,Multiracial,1394,13,56.73655648741984,0.93,4.0700542673902325,-3.1400542673902323,1.4675365850554419e-12
391,Guthrie,Multiracial,1036,6,42.358907185628745,0.58,4.088697604790419,-3.5086976047904193,1.9317503492638383e-12
051,Audubon,Multiracial,976,2,32.59724950884087,0.2,3.3398821218074657,-3.1398821218074655,2.4073771841123773e-12
691,Montgomery,Multiracial,1452,9,47.90718621499902,0.62,3.2993929900137067,-2.6793929900137066,4.099312304979631e-12
071,Black Hawk,Native Hawaiian/Pacific Islander,16467,54,121.13169883020855,0.33,0.7356027134888476,-0.4056027134888476,5.208566187304085e-12
531,Jones,Black/African American,1573,5,38.6926684532925,0.32,2.459800918836141,-2.139800918836141,8.976442025313703e-12
851,Story,Asian,8614,421,569.4023251647322,4.89,6.610196484382776,-1.7201964843827762,1.05197955197903e-11
471,Ida,Multiracial,1010,9,46.47373751989582,0.89,4.601360150484735,-3.7113601504847344,1.0924631800797303e-11
321,Emmet,Hispanic/Latino,1311,67,133.3364284171885,5.11,10.170589505506369,-5.0605895055063685,2.4658326574893074e-11
481,Iowa,Multiracial,1479,17,60.210092687950564,1.15,4.07100018174108,-2.92100018174108,2.5674545132502188e-11
441,Henry,Multiracial,894,13,51.84163167366527,1.45,5.798840231953609,-4.348840231953609,5.220908581803427e-11
631,Marion,Multiracial,1690,13,52.193983710837635,0.77,3.0884014030081444,-2.3184014030081443,6.089040495074551e-11
251,Dallas,Hispanic/Latino,4308,197,297.3800014819206,4.57,6.90297125074096,-2.33297125074096,1.01059874780436e-10
931,Wayne,Multiracial,530,2,28.236374770361298,0.38,5.327617881200245,-4.947617881200245,1.1880305020604442e-10
221,Clayton,Multiracial,972,4,33.19414565332393,0.41,3.4150355610415564,-3.005035561041556,1.3993123278633122e-10
061,Benton,Multiracial,1761,17,57.298903747473176,0.97,3.253770797698647,-2.283770797698647,2.477903372851079e-10
311,Dubuque,Hispanic/Latino,8790,191,287.0530142381097,2.17,3.2656770675552864,-1.0956770675552865,5.835712280369857e-10
311,Dubuque,Native Hawaiian/Pacific Islander,8790,26,71.18630717964253,0.3,0.8098555993133394,-0.5098555993133393,6.049699658179951e-10
901,Wapello,Native Hawaiian/Pacific Islander,3175,30,76.94629828629603,0.94,2.4235054578360953,-1.483505457836095,6.281415179118933e-10
561,Lee,Multiracial,1492,26,69.67172346699905,1.74,4.669686559450339,-2.9296865594503387,9.148433094529835e-10
491,Jackson,Multiracial,2251,20,60.48329035585353,0.89,2.6869520371325426,-1.7969520371325425,9.664376999356937e-10
411,Hancock,Multiracial,981,6,34.84200168681473,0.61,3.551682129135039,-2.9416821291350392,1.4208378422578287e-9
091,Bremer,Multiracial,1018,8,38.57284558006665,0.79,3.7890810982383742,-2.9990810982383747,1.673305490062888e-9
021,Adams,Multiracial,661,4,29.92932081722805,0.61,4.527885146327995,-3.917885146327995,2.2725480500791014e-9
971,Woodbury,Native Hawaiian/Pacific Islander,10699,32,78.04196824380924,0.3,0.7294323604431184,-0.4294323604431184,2.6323008821528173e-9
581,Louisa,Hispanic/Latino,939,92,154.24292938752572,9.8,16.426297059374413,-6.626297059374412,3.5663585145470526e-9
711,O'Brien,Hispanic/Latino,1685,70,128.11057624238993,4.15,7.603001557411865,-3.4530015574118647,4.742244798651715e-9
201,Clarke,Hispanic/Latino,794,77,133.4564272407369,9.7,16.808114262057543,-7.108114262057544,7.145689267944094e-9
711,O'Brien,Black/African American,1685,4,28.628061730143003,0.24,1.6989947614328191,-1.4589947614328191,9.933209361733385e-9
271,Decatur,Multiracial,516,2,23.675215878334836,0.39,4.58822013146024,-4.19822013146024,9.935187720239198e-9
921,Washington,Hispanic/Latino,1575,68,122.09897610921502,4.32,7.752315943442223,-3.432315943442223,2.3895169993421447e-8
871,Taylor,Hispanic/Latino,634,18,51.428766189502376,2.84,8.11179277436946,-5.271792774369461,2.6686020104205766e-8
641,Marshall,Asian,5162,139,212.58473350949794,2.69,4.118262950590816,-1.4282629505908164,2.6800950009674122e-8
751,Plymouth,Black/African American,2769,27,66.14110381792054,0.98,2.3886278012972384,-1.4086278012972384,3.071716777844795e-8
151,Cass,Multiracial,1723,11,40.52260232131948,0.64,2.3518631643249845,-1.7118631643249844,3.192911881628424e-8
461,Humboldt,Multiracial,933,8,34.92305286205818,0.86,3.743092482535711,-2.883092482535711,3.205174830002892e-8
731,Page,Black/African American,1751,6,29.97217632674641,0.34,1.7117176657193838,-1.3717176657193837,1.0145553299392419e-7
121,Butler,Multiracial,945,4,25.631833473507143,0.42,2.7123633305298567,-2.2923633305298567,1.2105330520540693e-7
101,Buchanan,Multiracial,1546,11,38.62385232434522,0.71,2.4983086885087467,-1.7883086885087467,1.2862997780919366e-7
111,Buena Vista,Black/African American,1329,14,43.4824362742736,1.05,3.2718161229701734,-2.221816122970173,1.3377753263562977e-7
041,Appanoose,Multiracial,836,4,25.112934996717005,0.48,3.0039395929087327,-2.5239395929087327,1.8429801560201136e-7
811,Sac,Multiracial,745,6,28.91113634017958,0.81,3.880689441634843,-3.0706894416348436,1.9523393215134457e-7
131,Calhoun,Multiracial,581,5,26.670407018259716,0.86,4.590431500561053,-3.730431500561053,2.3488514992589205e-7
231,Clinton,Hispanic/Latino,8395,220,302.64675369585893,2.62,3.6050834269905767,-0.9850834269905766,2.3571832128636312e-7
981,Worth,Multiracial,931,9,34.07333333333333,0.97,3.659863945578231,-2.6898639455782307,2.5643719115008255e-7
681,Monroe,Multiracial,707,2,19.855849860242248,0.28,2.8084653267669375,-2.5284653267669377,4.118059699563542e-7
461,Humboldt,Hispanic/Latino,933,22,53.600563027838604,2.36,5.7449692419977065,-3.3849692419977067,4.841592021193223e-7
871,Taylor,Multiracial,634,4,23.661554192229037,0.63,3.7321063394683023,-3.1021063394683024,6.011381643673348e-7
011,Adair,Multiracial,715,2,19.264745308310992,0.28,2.6943699731903483,-2.4143699731903485,7.146968757352098e-7
421,Hardin,Multiracial,742,5,25.195624737063525,0.67,3.3956367570166477,-2.725636757016648,8.968365880013479e-7
411,Hancock,Hispanic/Latino,981,26,58.37644082091651,2.65,5.9507075250679415,-3.3007075250679416,9.144597914822399e-7
081,Boone,Hispanic/Latino,5730,111,168.2387130643468,1.94,2.9361031948402583,-0.9961031948402584,1.230290907266263e-6
401,Hamilton,Hispanic/Latino,765,41,77.59975816203143,5.36,10.143759236866854,-4.783759236866854,1.4013013687594634e-6
641,Marshall,American Indian/Alaskan Native,5162,31,65.11372588123848,0.6,1.261404995762078,-0.6614049957620781,1.7783323743933963e-6
771,Polk,Black/African American,19037,1251,1415.02029512595,6.57,7.43300044716053,-0.8630004471605295,2.1286862221226138e-6
511,Jefferson,Multiracial,742,6,25.654632282712512,0.81,3.457497612225406,-2.647497612225406,2.806183675225415e-6
291,Des Moines,Hispanic/Latino,4324,106,158.97471873619665,2.45,3.67656611323304,-1.2265661132330394,3.561832220856937e-6
561,Lee,Hispanic/Latino,1492,23,51.93627823549083,1.54,3.4809837959444256,-1.9409837959444256,4.0057320440962986e-6
521,Johnson,Hispanic/Latino,6083,326,409.8594985923046,5.36,6.737785608947963,-1.3777856089479623,5.333771693693607e-6
961,Winneshiek,Hispanic/Latino,1316,16,40.52694610778443,1.22,3.0795551753635584,-1.8595551753635584,8.062129638474712e-6
261,Davis,Multiracial,694,4,20.387244730807033,0.58,2.937643332969313,-2.357643332969313,1.0124951233378177e-5
801,Ringgold,Multiracial,544,2,16.16189451022605,0.37,2.970936490850377,-2.6009364908503767,1.16970055267882e-5
181,Cherokee,Hispanic/Latino,964,25,51.607241379310345,2.59,5.3534482758620685,-2.7634482758620686,2.073980489472799e-5
151,Cass,Hispanic/Latino,1723,22,46.969379963347585,1.28,2.7260232131948685,-1.4460232131948685,3.227641561975003e-5
371,Greene,Hispanic/Latino,1858,36,65.65446593001842,1.94,3.533609576427256,-1.593609576427256,3.611157503516836e-5
851,Story,American Indian/Alaskan Native,8614,17,39.86930901996695,0.2,0.462843150916728,-0.262843150916728,3.633288263423142e-5
191,Chickasaw,Hispanic/Latino,1038,23,47.913102396883204,2.22,4.615905818582197,-2.395905818582197,3.633993611625549e-5
751,Plymouth,Hispanic/Latino,2769,129,177.77438148133763,4.66,6.42016545616965,-1.7601654561696505,4.6127414357407476e-5
411,Hancock,Asian,981,1,12.22687658138881,0.1,1.2463686627307655,-1.1463686627307657,6.068211612944582e-5
081,Boone,Black/African American,5730,37,65.96332683365831,0.65,1.1511924403779812,-0.5011924403779812,6.847880314575948e-5
481,Iowa,Hispanic/Latino,1479,26,50.53347064881566,1.76,3.416732295389835,-1.656732295389835,8.79979900105934e-5
691,Montgomery,Black/African American,1452,9,26.15703935774427,0.62,1.801448991580184,-1.1814489915801842,9.219278962905655e-5
671,Monona,Hispanic/Latino,1940,28,52.82458805656188,1.44,2.7229169101320556,-1.2829169101320557,1.126231938973315e-4
851,Story,Black/African American,8614,186,239.73029681683363,2.16,2.783031075189617,-0.6230310751896164,1.5033483003007466e-4
891,Van Buren,Multiracial,622,5,18.46844358514017,0.8,2.969203148736362,-2.1692031487363623,1.9636114419733665e-4
881,Union,Multiracial,755,8,23.355707496039354,1.06,3.0934711915283915,-2.0334711915283914,1.9800056870801453e-4
281,Delaware,American Indian/Alaskan Native,1022,1,10.94293199681057,0.1,1.0707369859892926,-0.9707369859892926,2.010552543923318e-4
571,Linn,Black/African American,17696,947,1056.740578424723,5.35,5.971635275908245,-0.6216352759082451,2.163422810360636e-4
321,Emmet,Black/African American,1311,7,21.515007557762903,0.53,1.6411142301878645,-1.1111142301878645,2.5436203178735503e-4
211,Clay,Hispanic/Latino,1688,51,80.08796549419841,3.02,4.744547718850617,-1.724547718850617,2.5591296121711525e-4
781,Pottawattamie,Black/African American,11686,176,226.40499229320088,1.51,1.937403665011132,-0.4274036650111319,2.589055291998398e-4
031,Allamakee,Black/African American,994,5,18.127873971047404,0.5,1.823729775759296,-1.323729775759296,2.693282899866951e-4
171,Cerro Gordo,Hispanic/Latino,2820,118,158.55554513041847,4.18,5.622537061362357,-1.4425370613623576,3.2775438525678815e-4
661,Mitchell,Multiracial,860,4,16.02080378250591,0.47,1.8628841607565012,-1.3928841607565012,3.612027978398387e-4
221,Clayton,Hispanic/Latino,972,8,22.510315640980426,0.82,2.3158760947510726,-1.4958760947510727,3.6731118017226615e-4
761,Pocahontas,Hispanic/Latino,765,24,44.731762702242406,3.14,5.84728924212319,-2.7072892421231898,3.7580562316528164e-4
501,Jasper,Hispanic/Latino,2233,43,69.24806344522317,1.93,3.101122411340043,-1.1711224113400431,4.060900646062828e-4
