race,observations,mean_absolute_error,median_absolute_error,maximum_absolute_error
White,100,6.233165855343476,5.111065415457624,24.37078253746447
Multiracial,100,4.537691048264206,3.759826278861342,17.73876021379861
HLSO Ethnicity,100,2.4678821876030175,1.444280137278613,15.3549204398845
Black/African American,100,0.5162984761540359,0.40626042875548884,2.221816122970173
Asian,100,0.4134007293364148,0.26058787473314654,6.162107609041707
American Indian/Alaskan Native,100,0.21675917306507764,0.16524310505747758,0.9707369859892926
Native Hawaiian/Pacific Islander,100,0.12950842767550474,0.0638433709299851,1.483505457836095
