race,Criminal Panel,Juror,Overall Pool,Pool → Panel,Panel → Juror,Pool → Juror
Hispanic/Latino,4.681132283291111,4.11318553092182,4.74142783986286,-0.060295556571748676,-0.5679467523692914,-0.62824230894104
Asian,1.3960788633109373,1.1376896149358227,1.756380316627866,-0.36030145331692864,-0.2583892483751147,-0.6186907016920433
Black/African American,2.9105628373168853,2.7712952158693116,3.1550198119409165,-0.24445697462403126,-0.13926762144757365,-0.3837245960716049
American Indian/Alaska Native,0.36898336821235816,0,0.3733579333112999,-0.004374565098941741,-0.36898336821235816,-0.3733579333112999
Native Hawaiian/Pacific Islander,0.13492675404780263,0.08751458576429405,0.1532656107561951,-0.01833885670839247,-0.04741216828350858,-0.06575102499190105
White,90.5083158938209,91.89031505250875,89.82054848750086,0.6877674063200487,1.3819991586878473,2.069766565007896
