"race","mean_gap","median_gap","sd_gap","min_gap","max_gap","range_gap","observations"
"Hispanic/Latino/Spanish Origins",-5.5787249459785,-3.53817173348189,5.06216144384401,-28.3144292391461,-0.522819659291169,27.791609579855,100
"Black/African American",-0.32256501936258,-0.248119324357328,0.612074985849597,-2.22181612297017,1.41226917581248,3.63408529878266,100
"Asian",-0.184860169118846,-0.0307407467328223,0.775504918918359,-6.16210760904171,0.918569258389725,7.08067686743143,100
"Native Hawaiian/Pacific Islander",-0.0239997379195928,0,0.255178455520895,-1.4835054578361,0.38,1.8635054578361,100
"American Indian/Alaskan Native",-0.0167047399635391,0.0203896323608061,0.29450815328682,-0.970736985989293,0.627526025719535,1.59826301170883,100
"White",6.23316585534348,5.11106541545762,3.88160643541856,1.93458085899736,24.3707825374645,22.4362016784671,100
