CD_COURT_NAME,AMERICAN_INDIAN__ALASKAN_NATIVE,ASIAN,BLACK__AFRICAN_AMERICAN,HISPANIC_LATINO_SPANISH_ORIGINS,MULTI_RACE,NATIVE_HAWAIIAN_OTHER_PACIFIC_ISLANDER,NOT_PROVIDED,OTHER,UNKNOWN,WHITE,HLSO_ETHNICITY,TOTAL
891 Van Buren County District Court,2,6,1,0,5,0,51,7,2,599,10,673
901 Wapello County District Court,18,42,82,21,28,30,712,159,12,2783,259,3887
911 Warren County District Court,5,23,13,2,18,5,87,22,1,1905,58,2081
921 Washington County District Court,5,7,18,1,14,0,96,41,5,1484,68,1671
931 Wayne County District Court,4,0,2,0,2,0,69,1,0,521,5,599
941 Webster County District Court,17,36,128,15,63,3,385,69,14,3770,139,4500
951 Winnebago County District Court,1,8,14,3,11,0,96,18,3,974,43,1128
961 Winneshiek County District Court,0,10,4,0,9,2,40,5,0,1286,16,1356
971 Woodbury County District Court,152,281,362,174,229,32,2376,564,41,8864,1267,13075
981 Worth County District Court,1,0,2,0,9,0,44,5,2,912,22,975
991 Wright County District Court,3,6,5,7,8,0,79,32,4,732,73,876
Sum,1028,4836,8687,1327,3719,422,25058,6116,791,247311,13055,299295
